title,seeders,leechers,peers,category,date,timestamp
The Last of Us: Part II,2640,5757,8397,games,2025-04-09,20250409_155149
inZOI,1818,147,1965,games,2025-04-09,20250409_155149
"Rise of the Ronin [ , Sel...",805,630,1435,games,2025-04-09,20250409_155149
Schedule I f9,2452,95,2547,games,2025-04-09,20250409_155149
South of Midnight: Premium Edition [Fi...,994,633,1627,games,2025-04-09,20250409_155149
Mortal Kombat 1: Khaos Reigns Kollection (,403,295,698,games,2025-04-09,20250409_155149
BLEACH: Rebirth of Souls [F...,506,196,702,games,2025-04-09,20250409_155149
House Party: Supporter Edition,616,34,650,games,2025-04-09,20250409_155149
"Haste [ ,",469,76,545,games,2025-04-09,20250409_155149
AI LIMIT: Deluxe Edition,616,89,705,games,2025-04-09,20250409_155149
"Cities: Skylines II [ , ...",522,90,612,games,2025-04-09,20250409_155149
Venus Vacation PRISM: DEAD OR ALIVE Xtreme,251,39,290,games,2025-04-09,20250409_155149
Atelier Yumia: The Alchemist of Memories & the Envisioned Land (b/c,322,32,354,games,2025-04-09,20250409_155149
Xenoblade Chronicles X: Definitive Edition (,281,40,321,games,2025-04-09,20250409_155149
Cyberpunk 2077,222,45,267,games,2025-04-09,20250409_155149
The Invincible: Deluxe Edition (/ CL_54877,221,26,247,games,2025-04-09,20250409_155149
"CONTROL: Ultimate Edition [ , S...",498,168,666,games,2025-04-09,20250409_155149
American Truck Simulator,158,30,188,games,2025-04-09,20250409_155149
Cataclismo,178,3,181,games,2025-04-09,20250409_155149
Sonic X Shadow Generations [...,131,18,149,games,2025-04-09,20250409_155149
Squirrel with a Gun,129,12,141,games,2025-04-09,20250409_155149
Kingdom Come: Deliverance II,232,34,266,games,2025-04-09,20250409_155149
INAYAH: Life after Gods,129,8,137,games,2025-04-09,20250409_155149
KARMA: The Dark World,105,28,133,games,2025-04-09,20250409_155149
Rogue: Genesia,131,1,132,games,2025-04-09,20250409_155149
Myst,122,4,126,games,2025-04-09,20250409_155149
SaGa Frontier 2,115,9,124,games,2025-04-09,20250409_155149
Zombieville USA 3D,108,2,110,games,2025-04-09,20250409_155149
Romancing SaGa 2: Revenge of the Seven [Fi...,86,19,105,games,2025-04-09,20250409_155149
Grit and Valor,89,8,97,games,2025-04-09,20250409_155149
The Phantom,81,3,84,games,2025-04-09,20250409_155149
GUILTY GEAR -STRIVE,59,23,82,games,2025-04-09,20250409_155149
Corner Kitchen: Fast Food Simulator,76,3,79,games,2025-04-09,20250409_155149
3D Escape Room: Detective Story,72,1,73,games,2025-04-09,20250409_155149
Nordhold,70,1,71,games,2025-04-09,20250409_155149
Wanderstop,65,3,68,games,2025-04-09,20250409_155149
House Builder: Pack and Punch Bundle (Build 20-03,57,11,68,games,2025-04-09,20250409_155149
Reignbreaker,64,3,67,games,2025-04-09,20250409_155149
FATE: Reawakened,61,2,63,games,2025-04-09,20250409_155149
Lossless Scaling,62,0,62,games,2025-04-09,20250409_155149
Wreckfest 2,86,9,95,games,2025-04-09,20250409_155149
Strike Force 2: Terrorist Hunt,57,4,61,games,2025-04-09,20250409_155149
Robin Hood: Sherwood Defenders,52,9,61,games,2025-04-09,20250409_155149
Age of Wonders 4 Giant Kings,50,4,54,games,2025-04-09,20250409_155149
Crusader Kings III,47,4,51,games,2025-04-09,20250409_155149
Sledders,43,4,47,games,2025-04-09,20250409_155149
World Racing 2: Champion Edition,41,3,44,games,2025-04-09,20250409_155149
Psycho Patrol R,41,0,41,games,2025-04-09,20250409_155149
Nubby's Number Factory,38,1,39,games,2025-04-09,20250409_155149
Spilled!,36,0,36,games,2025-04-09,20250409_155149
Tainted Grail: The Fall of Avalon,27,5,32,games,2025-04-09,20250409_155149
Command & Conquer Red Alert 3,25,5,30,games,2025-04-09,20250409_155149
Project Zomboid,27,1,28,games,2025-04-09,20250409_155149
S.T.A.L.K.E.R. 2: Heart of Chornobyl,18,3,21,games,2025-04-09,20250409_155149
WWE 2K25,9,8,17,games,2025-04-09,20250409_155149
Avowed,15,1,16,games,2025-04-09,20250409_155149
AI LIMIT,14,1,15,games,2025-04-09,20250409_155149
Witchfire,10,3,13,games,2025-04-09,20250409_155149
God of War Ragnarok,10,1,11,games,2025-04-09,20250409_155149
A.Minecraft.Movie.2025..WORKPRINT..COLLECTiVE,6656,9344,16000,movies,2025-04-09,20250409_155149
Mickey 17 2025 5.1 BONE,6949,8103,15052,movies,2025-04-09,20250409_155149
A Working Man,3478,3198,6676,movies,2025-04-09,20250409_155149
Black.Bag.2025..MA..DDP5.1.,12418,7797,20215,movies,2025-04-09,20250409_155149
Novocaine.2025...Cropped-NoAds.INT.READ.NFO.,1480,2024,3504,movies,2025-04-09,20250409_155149
Novocaine Eng AMZN ESub,1587,1287,2874,movies,2025-04-09,20250409_155149
The.Monkey.2025....,5478,1867,7345,movies,2025-04-09,20250409_155149
The.Electric.State.2025..NF..DDP5.1.H.264,2321,684,3005,movies,2025-04-09,20250409_155149
Mickey.17.2025..TELESYNC..COLLECTiVE,1880,998,2878,movies,2025-04-09,20250409_155149
Chhava Hindi HC,1111,205,1316,movies,2025-04-09,20250409_155149
Mickey.17.2025.Hybrid...DHDR.DDP5.1.Atmos.H265,666,455,1121,movies,2025-04-09,20250409_155149
Bill.Burr.Drop.Dead.Years.2025..WEB.H264,928,114,1042,movies,2025-04-09,20250409_155149
Last.Breath.2025....5.1,843,344,1187,movies,2025-04-09,20250409_155149
Becoming Led Zeppelin 5 1,582,158,740,movies,2025-04-09,20250409_155149
Holland.2025..AMZN..DDP5.1.H.265,622,198,820,movies,2025-04-09,20250409_155149
Popeye.The.Slayer.Man 2025....DD5.1,635,100,735,movies,2025-04-09,20250409_155149
A.Working.Man.2025...Cam.Audio.READNFO..COLLECTiVE,782,684,1466,movies,2025-04-09,20250409_155149
Black Bag Eng ESub,730,357,1087,movies,2025-04-09,20250409_155149
Batman.Ninja.vs.Yakuza.League.2025...5.1.,663,53,716,movies,2025-04-09,20250409_155149
Officer on Duty ESub,640,51,691,movies,2025-04-09,20250409_155149
Sikandar 2025 HQ Telesync NO WM 2.0 Hindi DIGITAL HC ESUB,603,207,810,movies,2025-04-09,20250409_155149
High.Rollers.2025....5.1,729,70,799,movies,2025-04-09,20250409_155149
Fog.Of.War.2025....10bit.5.1,835,130,965,movies,2025-04-09,20250409_155149
Peter.Pans.Neverland.Nightmare.2025....5.1,425,53,478,movies,2025-04-09,20250409_155149
I'm Still Here ...,238,166,404,movies,2025-04-09,20250409_155149
Deva 2025 5.1,321,50,371,movies,2025-04-09,20250409_155149
Captain.America.Brave.New.World.2025.iNTERNAL..10bit..2CH..,530,112,642,movies,2025-04-09,20250409_155149
Viduthalai Part 1 UnCut ESub,431,51,482,movies,2025-04-09,20250409_155149
Elevator Lady 2025 Tagalog BONE,1071,111,1182,movies,2025-04-09,20250409_155149
Borderline 5.1,221,48,269,movies,2025-04-09,20250409_155149
Kaafir Hin ESub,345,28,373,movies,2025-04-09,20250409_155149
Alexander.And.The.Terrible.Horrible.No.Good.Very.Bad.Road.Trip.2025.....,184,15,199,movies,2025-04-09,20250409_155149
